,index,team1,team2
314,471,Kings XI Punjab,Kolkata Knight Riders
315,472,Mumbai Indians,Delhi Daredevils
316,473,Sunrisers Hyderabad,Chennai Super Kings
317,474,Royal Challengers Bangalore,Kings XI Punjab
318,475,Rajasthan Royals,Kolkata Knight Riders
319,476,Sunrisers Hyderabad,Mumbai Indians
320,477,Chennai Super Kings,Kolkata Knight Riders
321,478,Kings XI Punjab,Mumbai Indians
322,479,Delhi Daredevils,Rajasthan Royals
323,480,Sunrisers Hyderabad,Royal Challengers Bangalore
324,481,Rajasthan Royals,Kolkata Knight Riders
325,482,Delhi Daredevils,Chennai Super Kings
326,483,Mumbai Indians,Royal Challengers Bangalore
327,484,Delhi Daredevils,Kolkata Knight Riders
328,485,Kings XI Punjab,Chennai Super Kings
329,486,Sunrisers Hyderabad,Rajasthan Royals
330,487,Kings XI Punjab,Royal Challengers Bangalore
331,488,Delhi Daredevils,Sunrisers Hyderabad
332,489,Mumbai Indians,Chennai Super Kings
333,490,Kings XI Punjab,Kolkata Knight Riders
334,491,Royal Challengers Bangalore,Rajasthan Royals
335,492,Sunrisers Hyderabad,Mumbai Indians
336,493,Rajasthan Royals,Chennai Super Kings
337,494,Royal Challengers Bangalore,Delhi Daredevils
338,495,Sunrisers Hyderabad,Kings XI Punjab
339,496,Mumbai Indians,Kolkata Knight Riders
340,497,Rajasthan Royals,Delhi Daredevils
341,498,Chennai Super Kings,Royal Challengers Bangalore
342,499,Sunrisers Hyderabad,Kolkata Knight Riders
343,500,Mumbai Indians,Rajasthan Royals
344,501,Delhi Daredevils,Kings XI Punjab
345,502,Royal Challengers Bangalore,Sunrisers Hyderabad
346,503,Chennai Super Kings,Kolkata Knight Riders
347,504,Kings XI Punjab,Mumbai Indians
348,505,Kolkata Knight Riders,Royal Challengers Bangalore
349,506,Chennai Super Kings,Sunrisers Hyderabad
350,507,Mumbai Indians,Delhi Daredevils
351,508,Kings XI Punjab,Rajasthan Royals
352,509,Royal Challengers Bangalore,Chennai Super Kings
353,510,Sunrisers Hyderabad,Kolkata Knight Riders
354,511,Delhi Daredevils,Kings XI Punjab
355,512,Rajasthan Royals,Mumbai Indians
356,513,Kolkata Knight Riders,Kings XI Punjab
357,514,Mumbai Indians,Chennai Super Kings
358,515,Kings XI Punjab,Chennai Super Kings
359,516,Kings XI Punjab,Kolkata Knight Riders
360,517,Mumbai Indians,Kolkata Knight Riders
361,518,Chennai Super Kings,Delhi Daredevils
362,519,Rajasthan Royals,Kings XI Punjab
363,520,Chennai Super Kings,Sunrisers Hyderabad
364,521,Kolkata Knight Riders,Royal Challengers Bangalore
365,522,Delhi Daredevils,Rajasthan Royals
366,523,Kings XI Punjab,Mumbai Indians
367,524,Royal Challengers Bangalore,Sunrisers Hyderabad
368,525,Mumbai Indians,Rajasthan Royals
369,526,Chennai Super Kings,Kolkata Knight Riders
370,527,Kings XI Punjab,Delhi Daredevils
371,528,Sunrisers Hyderabad,Rajasthan Royals
372,529,Mumbai Indians,Chennai Super Kings
373,530,Delhi Daredevils,Sunrisers Hyderabad
374,531,Kings XI Punjab,Kolkata Knight Riders
375,532,Chennai Super Kings,Rajasthan Royals
376,533,Mumbai Indians,Royal Challengers Bangalore
377,534,Delhi Daredevils,Kolkata Knight Riders
378,535,Rajasthan Royals,Kings XI Punjab
379,536,Sunrisers Hyderabad,Kolkata Knight Riders
380,537,Chennai Super Kings,Royal Challengers Bangalore
381,538,Delhi Daredevils,Mumbai Indians
382,539,Rajasthan Royals,Royal Challengers Bangalore
383,540,Mumbai Indians,Sunrisers Hyderabad
384,541,Chennai Super Kings,Kings XI Punjab
385,542,Delhi Daredevils,Royal Challengers Bangalore
386,543,Sunrisers Hyderabad,Kings XI Punjab
387,544,Kolkata Knight Riders,Delhi Daredevils
388,545,Royal Challengers Bangalore,Rajasthan Royals
389,546,Chennai Super Kings,Kolkata Knight Riders
390,547,Kings XI Punjab,Delhi Daredevils
391,548,Mumbai Indians,Rajasthan Royals
392,549,Kolkata Knight Riders,Royal Challengers Bangalore
393,550,Sunrisers Hyderabad,Chennai Super Kings
394,551,Mumbai Indians,Kings XI Punjab
395,552,Rajasthan Royals,Delhi Daredevils
396,553,Chennai Super Kings,Royal Challengers Bangalore
397,554,Kolkata Knight Riders,Sunrisers Hyderabad
398,555,Delhi Daredevils,Mumbai Indians
399,556,Royal Challengers Bangalore,Kings XI Punjab
400,557,Sunrisers Hyderabad,Rajasthan Royals
401,558,Chennai Super Kings,Mumbai Indians
402,559,Kings XI Punjab,Kolkata Knight Riders
403,560,Sunrisers Hyderabad,Delhi Daredevils
404,561,Royal Challengers Bangalore,Mumbai Indians
405,562,Chennai Super Kings,Rajasthan Royals
406,563,Sunrisers Hyderabad,Kings XI Punjab
407,564,Chennai Super Kings,Delhi Daredevils
408,565,Kings XI Punjab,Royal Challengers Bangalore
409,566,Mumbai Indians,Kolkata Knight Riders
410,567,Sunrisers Hyderabad,Royal Challengers Bangalore
411,568,Kings XI Punjab,Chennai Super Kings
412,569,Rajasthan Royals,Kolkata Knight Riders
413,570,Delhi Daredevils,Royal Challengers Bangalore
